"","created_at","screen_name","text","display_text_width","is_quote","is_retweet","favorite_count","retweet_count","url_present","video","photo","WD","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","year","month","January","February","March","April","May","June","July","August","September","October","November","hour","afternoon","evening","mentions_count","mentions_presence","hashtag_count","hashtag_presence","emoji_count","emoji_presence","mentions_sqrt","emoji_sqrt","favorite_log","retweet_log","target_fav_norm","target_RT_norm","target_fav","target_RT","tweet_length_scaled","followers_count_scaled","question","athletes_mentions"
"1",2019-02-04,"Nike","One crazy dream turns into another.
And another.
And another.
And another.
And another.
#justdoit https://t.co/hJrofBCPav",97,0,0,5397,900,0,0,1,"Monday",1,0,0,0,0,0,2019,"February",0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,1,0,0,0,0,8.59359852261864,6.80239476332431,1,1,1,1,1.92212077387325,5.14296990122633,0,0
"2",2019-01-15,"Nike","Introducing Nike Adapt BB. Power laces for the perfect fit.

Pre-order now for a limited time only on https://t.co/bowoctlxR0 in the U.S. Arriving globally February 17: https://t.co/5cm5ou0XQC #nikeadapt https://t.co/UDbUBK7HvK",203,0,0,8579,3007,1,1,0,"Tuesday",0,1,0,0,0,0,2019,"January",1,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,1,1,0,0,0,0,9.05707263557296,8.00869818298853,1,1,1,1,4.21138821241892,5.14296990122633,0,0
"3",2019-01-15,"Nike","The future of the game is here.

Watch live on @twitch at 9AM EST. Pre-show starts now: https://t.co/N7Yqbn7gP2 #nikeadapt https://t.co/DVL6vnewaX",122,0,0,2024,484,1,1,0,"Tuesday",0,1,0,0,0,0,2019,"January",1,0,0,0,0,0,0,0,0,0,0,13,1,0,1,1,1,1,0,0,1,0,7.61283103040736,6.18208490671663,1,1,1,1,2.46204233956799,5.14296990122633,0,0
"4",2019-01-14,"Nike","12-year-old @kalli_minor is launching a quarterly tennis clinic to give kids in her community of Compton the opportunity to play. With kids like Kalli in the game, it’s only a matter of time until we all win. What does #untilweallwin mean to you? https://t.co/12NGSYCI3I",140,0,1,0,1395,0,0,0,"Monday",1,0,0,0,0,0,2019,"January",1,0,0,0,0,0,0,0,0,0,0,17,1,0,1,1,1,1,0,0,1,0,0,7.24064969425547,0,1,0,1,2.8507858668682,5.14296990122633,1,0
"5",2019-01-14,"Nike","The game will never be the same.

Tune in tomorrow at 8AM EST. @nikebasketball https://t.co/4LrJGpPDY6",78,0,0,7408,1940,0,1,0,"Monday",1,0,0,0,0,0,2019,"January",1,0,0,0,0,0,0,0,0,0,0,15,1,0,1,1,0,0,0,0,1,0,8.91031577632602,7.57044325205737,1,1,1,1,1.51178038394526,5.14296990122633,0,0
"6",2018-11-22,"Nike","“My dad sacrificed his dream, so I could live mine.” @KyrieIrving #justdoit https://t.co/cxU6IMkFQs",75,0,0,27268,8211,0,1,0,"Thursday",0,0,0,1,0,0,2018,"November",0,0,0,0,0,0,0,0,0,0,1,15,1,0,1,1,1,1,0,0,1,0,10.2134691324827,9.01322999770879,1,1,1,1,1.44698979606189,5.14296990122633,0,1
"7",2018-11-18,"Nike","It’s only crazy until you do it, and @obj doesn’t feel like he’s done anything yet. #justdoit https://t.co/tFd1wAmBWK",93,0,0,53851,18010,0,1,0,"Sunday",0,0,0,0,0,0,2018,"November",0,0,0,0,0,0,0,0,0,0,1,18,1,0,1,1,1,1,0,0,1,0,10.8939762525142,9.79868243817,1,1,1,1,1.8357333233621,5.14296990122633,0,0
"8",2018-11-04,"Nike","Start with a dream. Finish with a fight. 

Congratulations, Lelisa Desisa. #justdoit",84,0,0,1966,315,0,0,0,"Sunday",0,0,0,0,0,0,2018,"November",0,0,0,0,0,0,0,0,0,0,1,17,1,0,0,0,1,1,0,0,0,0,7.58375630070711,5.75257263882563,1,1,1,1,1.64136155971199,5.14296990122633,0,0
"9",2018-11-01,"Nike","Don’t just dream of a place on the podium. Dream of a place in history. #justdoit https://t.co/LWHGKZ6i1F",81,0,0,8642,1538,0,0,1,"Thursday",0,0,0,1,0,0,2018,"November",0,0,0,0,0,0,0,0,0,0,1,15,1,0,0,0,1,1,0,0,0,0,9.06438931649188,7.33823815006559,1,1,1,1,1.57657097182862,5.14296990122633,0,0
"10",2018-10-29,"Nike","Don't chase records. Chase history. #justdoit https://t.co/k9YyeTCaqc",45,0,0,7741,1799,0,0,1,"Monday",1,0,0,0,0,0,2018,"October",0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,1,1,0,0,0,0,8.95428615720471,7.49498623395053,1,1,1,1,0.799083917228206,5.14296990122633,0,0
"11",2018-10-20,"Nike","Just a small-town kid with big-city dreams. #justdoit @KingJames https://t.co/okTQBM8hLI",64,0,0,94128,32242,0,1,0,"Saturday",0,0,0,0,0,1,2018,"October",0,0,0,0,0,0,0,0,0,1,0,16,1,0,1,1,1,1,0,0,1,0,11.4524108371042,10.3810252294359,1,1,1,1,1.2094243071562,5.14296990122633,0,1
"12",2018-10-18,"Nike","Kids from Akron don’t just dream it. They do it. #justdoit https://t.co/Cmj2caP2Mq",58,0,0,48729,11504,0,0,1,"Thursday",0,0,0,1,0,0,2018,"October",0,0,0,0,0,0,0,0,0,1,0,16,1,0,0,0,1,1,0,0,0,0,10.7940296143875,9.35045007996083,1,1,1,1,1.07984313138947,5.14296990122633,0,0
"13",2018-10-07,"Nike","First to the finish, second to none. Congratulations Brigid Kosgei on your #chicagomarathon victory. #justdoit",110,0,0,991,194,0,0,0,"Sunday",0,0,0,0,0,0,2018,"October",0,0,0,0,0,0,0,0,0,1,0,14,1,0,0,0,2,1,0,0,0,0,6.89871453432999,5.26785815906333,1,1,1,0,2.20287998803451,5.14296990122633,0,0
"14",2018-10-07,"Nike","That’s Mo like it. #justdoit #chicagomarathon",45,0,0,1663,268,0,0,0,"Sunday",0,0,0,0,0,0,2018,"October",0,0,0,0,0,0,0,0,0,1,0,14,1,0,0,0,2,1,0,0,0,0,7.41637847919293,5.59098698051086,1,1,1,1,0.799083917228206,5.14296990122633,0,0
"15",2018-10-06,"Nike","Dreams don’t have an expiration date. #justdoit https://t.co/BVE9qaVtdP",47,0,0,41217,11234,0,1,0,"Saturday",0,0,0,0,0,1,2018,"October",0,0,0,0,0,0,0,0,0,1,0,14,1,0,0,0,1,1,0,0,0,0,10.6266060715921,9.32670017309238,1,1,1,1,0.842277642483785,5.14296990122633,0,0
"16",2018-09-24,"Nike","He’s done it again. 

Never stop chasing your crazy dreams. #justdoit https://t.co/sVXo12E1r9",69,0,0,31103,6055,0,0,1,"Monday",1,0,0,0,0,0,2018,"September",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,10.3450595565376,8.70863965598719,1,1,1,1,1.31740862029515,5.14296990122633,0,0
"17",2018-09-16,"Nike","Yesterday, 2:01:39 seemed crazy. Today, it’s the marathon world record. #justdoit https://t.co/dm7JeOCPqN",81,0,0,29695,8857,0,0,1,"Sunday",0,0,0,0,0,0,2018,"September",0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,1,1,0,0,0,0,10.29873396045,9.08896338580958,1,1,1,1,1.57657097182862,5.14296990122633,0,0
"18",2018-09-15,"Nike","Don't just be the fastest marathon runner in the world. Be the fastest in history. #justdoit @EliudKipchoge https://t.co/jGcoNy3Wsy",107,0,0,6472,2653,0,1,0,"Saturday",0,0,0,0,0,1,2018,"September",0,0,0,0,0,0,0,0,1,0,0,15,1,0,1,1,1,1,0,0,1,0,8.77524045873833,7.88344635413774,1,1,1,1,2.13808940015115,5.14296990122633,0,1
"19",2018-09-05,"Nike","Don’t ask if your dreams are crazy. Ask if they’re crazy enough. #justdoit https://t.co/Wd5L42egV8",74,0,0,520832,225447,0,1,0,"Wednesday",0,0,1,0,0,0,2018,"September",0,0,0,0,0,0,0,0,1,0,0,17,1,0,0,0,1,1,0,0,0,0,13.1631828119213,12.3258403770408,1,1,1,1,1.4253929334341,5.14296990122633,0,0
"20",2018-09-03,"Nike","Believe in something, even if it means sacrificing everything. #JustDoIt https://t.co/SRWkMIDdaO",113,0,1,0,361667,0,0,1,"Monday",1,0,0,0,0,0,2018,"September",0,0,0,0,0,0,0,0,1,0,0,21,0,1,0,0,1,1,0,0,0,0,0,12.7984791779471,0,1,0,1,2.26767057591788,5.14296990122633,0,0
"21",2018-08-27,"Nike","It’s only a crazy dream until you do it. #justdoit @serenawilliams https://t.co/8XUuJwBbXw",66,0,0,105100,35651,0,1,0,"Monday",1,0,0,0,0,0,2018,"August",0,0,0,0,0,0,0,1,0,0,0,15,1,0,1,1,1,1,0,0,1,0,11.562667556865,10.4815324759399,1,1,1,1,1.25261803241178,5.14296990122633,0,1
"22",2018-08-25,"Nike","You can take the superhero out of her costume, but you can never take away her superpowers. #justdoit https://t.co/dDB6D9nzaD",101,0,0,292058,121758,0,0,1,"Saturday",0,0,0,0,0,1,2018,"August",0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,1,0,0,0,0,12.5847076916631,11.709790747205,1,1,1,1,2.00850822438441,5.14296990122633,0,0
"23",2018-07-22,"Nike","Nerve Beats Nasty. Congratulations @F_Molinari on winning the Open Championship at Carnoustie Golf Links. #TheOpen #nike",120,0,0,915,98,0,0,0,"Sunday",0,0,0,0,0,0,2018,"July",0,0,0,0,0,0,1,0,0,0,0,18,1,0,1,1,2,1,0,0,1,0,6.81892406527552,4.58496747867057,1,1,1,0,2.41884861431241,5.14296990122633,0,0
"24",2018-07-15,"Nike","A Star is born. @KMbappe #JustDoIt https://t.co/cn8eqmUuuq",34,0,0,36412,7485,0,0,1,"Sunday",0,0,0,0,0,0,2018,"July",0,0,0,0,0,0,1,0,0,0,0,18,1,0,1,1,1,1,0,0,1,0,10.5026536696252,8.92065629685373,1,1,1,1,0.561518428322523,5.14296990122633,0,1
"25",2018-07-15,"Nike","Belief born in the streets of France. #JustDoIt https://t.co/t3rYXJz7Kw",47,0,0,9918,4987,0,1,0,"Sunday",0,0,0,0,0,0,2018,"July",0,0,0,0,0,0,1,0,0,0,0,17,1,0,0,0,1,1,0,0,0,0,9.20210656704908,8.51458980554612,1,1,1,1,0.842277642483785,5.14296990122633,0,0
"26",2018-07-14,"Nike","Play as one. Fight as one. Believe as one.
<U+2800> <U+2800>
Believe. #JustDoIt https://t.co/ZgDi1Lwi96",65,0,0,2339,386,0,1,0,"Saturday",0,0,0,0,0,1,2018,"July",0,0,0,0,0,0,1,0,0,0,0,22,0,1,0,0,1,1,2,1,0,1.4142135623731,7.75747876658418,5.95583736946483,1,1,1,1,1.23102116978399,5.14296990122633,0,0
