"","X","created_at","screen_name","text","display_text_width","is_quote","is_retweet","favorite_count","retweet_count","url_present","video","photo","WD","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","year","month","January","February","March","April","May","June","July","August","September","October","November","hour","afternoon","evening","mentions_count","mentions_presence","hashtag_count","hashtag_presence","emoji_count","emoji_presence","mentions_sqrt","emoji_sqrt","favorite_log","retweet_log","target_fav_norm","target_RT_norm","target_fav","target_RT","tweet_length_scaled","followers_count_scaled","question","athletes_mentions","text_lemma","word_total","noun_freq","verb_freq","topic_1","topic_2","topic_3","topic_4","topic_5","sentiment_analysis"
"1",1,"2019-02-04","Nike","One crazy dream turns into another. And another. And another. And another. And another. #justdoit https://t.co/hJrofBCPav",97,0,0,5397,900,0,0,1,"Monday",1,0,0,0,0,0,2019,"February",0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,1,0,0,0,0,8.59359852261864,6.80239476332431,1,1,1,1,1.92212077387325,5.14296990122633,0,0,"one crazy dream turn into another and another and another and another and another",14,0.0714285714285714,0.0714285714285714,0,1,0,0,1,6.0275
"2",2,"2019-01-15","Nike","Introducing Nike Adapt BB. Power laces for the perfect fit.  Pre-order now for a limited time only on https://t.co/bowoctlxR0 in the U.S. Arriving globally February 17: https://t.co/5cm5ou0XQC #nikeadapt https://t.co/UDbUBK7HvK",203,0,0,8579,3007,1,1,0,"Tuesday",0,1,0,0,0,0,2019,"January",1,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,1,1,0,0,0,0,9.05707263557296,8.00869818298853,1,1,1,1,4.21138821241892,5.14296990122633,0,0,"introduce nike adapt bb power laces for the perfect fit preorder now for a limited time only on in the we arrive globally february",24,0.25,0.125,0,1,0,0,0,6.1325
"3",3,"2019-01-15","Nike","The future of the game is here.  Watch live on   at 9AM EST. Pre-show starts now: https://t.co/N7Yqbn7gP2 #nikeadapt https://t.co/DVL6vnewaX",122,0,0,2024,484,1,1,0,"Tuesday",0,1,0,0,0,0,2019,"January",1,0,0,0,0,0,0,0,0,0,0,13,1,0,1,1,1,1,0,0,1,0,7.61283103040736,6.18208490671663,1,1,1,1,2.46204233956799,5.14296990122633,0,0,"the future of the game be here watch live on at am est preshow start now",16,0.25,0.125,0,0,1,0,0,6.57666666666667
"4",4,"2019-01-14","Nike","12-year-old   is launching a quarterly tennis clinic to give kids in her community of Compton the opportunity to play. With kids like Kalli in the game, it’s only a matter of time until we all win. What does #untilweallwin mean to you? https://t.co/12NGSYCI3I",140,0,1,0,1395,0,0,0,"Monday",1,0,0,0,0,0,2019,"January",1,0,0,0,0,0,0,0,0,0,0,17,1,0,1,1,1,1,0,0,1,0,0,7.24064969425547,0,1,0,1,2.8507858668682,5.14296990122633,1,0,"yearold be launch a quarterly tennis clinic to give kid in she community of compton the opportunity to play with kid like kalli in the game it be only a matter of time until we all win what do mean to you",42,0.285714285714286,0.119047619047619,1,0,1,0,0,6.18157894736842
"5",5,"2019-01-14","Nike","The game will never be the same.  Tune in tomorrow at 8AM EST.   https://t.co/4LrJGpPDY6",78,0,0,7408,1940,0,1,0,"Monday",1,0,0,0,0,0,2019,"January",1,0,0,0,0,0,0,0,0,0,0,15,1,0,1,1,0,0,0,0,1,0,8.91031577632602,7.57044325205737,1,1,1,1,1.51178038394526,5.14296990122633,0,0,"the game will never be the same tune in tomorrow at am est",13,0.384615384615385,0,0,1,0,0,0,6.3225
"6",6,"2018-11-22","Nike","“My dad sacrificed his dream, so I could live mine.”   #justdoit https://t.co/cxU6IMkFQs",75,0,0,27268,8211,0,1,0,"Thursday",0,0,0,1,0,0,2018,"November",0,0,0,0,0,0,0,0,0,0,1,15,1,0,1,1,1,1,0,0,1,0,10.2134691324827,9.01322999770879,1,1,1,1,1.44698979606189,5.14296990122633,0,1,"my dad sacrifice he dream so i could live mine",10,0.2,0.2,0,1,0,0,0,6.82
"7",7,"2018-11-18","Nike","It’s only crazy until you do it, and   doesn’t feel like he’s done anything yet. #justdoit https://t.co/tFd1wAmBWK",93,0,0,53851,18010,0,1,0,"Sunday",0,0,0,0,0,0,2018,"November",0,0,0,0,0,0,0,0,0,0,1,18,1,0,1,1,1,1,0,0,1,0,10.8939762525142,9.79868243817,1,1,1,1,1.8357333233621,5.14296990122633,0,0,"its only crazy until you do it and do not feel like he do anything yet",16,0.0625,0.1875,1,0,0,1,0,3.75666666666667
"8",8,"2018-11-04","Nike","Start with a dream. Finish with a fight.   Congratulations, Lelisa Desisa. #justdoit",84,0,0,1966,315,0,0,0,"Sunday",0,0,0,0,0,0,2018,"November",0,0,0,0,0,0,0,0,0,0,1,17,1,0,0,0,1,1,0,0,0,0,7.58375630070711,5.75257263882563,1,1,1,1,1.64136155971199,5.14296990122633,0,0,"start with a dream finish with a fight congratulation lelisa desisa",11,0.545454545454545,0.0909090909090909,0,0,0,0,1,6.218
"9",9,"2018-11-01","Nike","Don’t just dream of a place on the podium. Dream of a place in history. #justdoit https://t.co/LWHGKZ6i1F",81,0,0,8642,1538,0,0,1,"Thursday",0,0,0,1,0,0,2018,"November",0,0,0,0,0,0,0,0,0,0,1,15,1,0,0,0,1,1,0,0,0,0,9.06438931649188,7.33823815006559,1,1,1,1,1.57657097182862,5.14296990122633,0,0,"do not just dream of a place on the podium dream of a place in history",16,0.375,0,1,0,0,0,0,6.14857142857143
"10",10,"2018-10-29","Nike","Don't chase records. Chase history. #justdoit https://t.co/k9YyeTCaqc",45,0,0,7741,1799,0,0,1,"Monday",1,0,0,0,0,0,2018,"October",0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,1,1,0,0,0,0,8.95428615720471,7.49498623395053,1,1,1,1,0.799083917228206,5.14296990122633,0,0,"do not chase record chase history",6,0.5,0.166666666666667,0,1,0,0,0,3.46
